epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/scoreboards,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
28,144,3714.13134765625,3858.574951171875,3844.387451171875,3882.331298828125,0.0,3.2032687664031982,0.01612643338739872,0.018438296392560005,0.016611339524388313,0.02875533141195774,0.37259867787361145,0.44208407402038574,0.4102916121482849,0.5135151743888855,0.11630015075206757,0.11827117204666138,0.11584293842315674,0.18214687705039978,,,,,,,,,,,,,,,
29,149,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
29,149,,,,,,,,,,,,,,,,,,,,,,0.8795738220214844,1.0,1.0,0.924347996711731,0.9777777791023254,1.9618237018585205,1.0,0.8795738220214844,1.0,0.9333333373069763,1.0,1.0
29,149,3757.918701171875,3862.77490234375,3872.50634765625,3879.60009765625,7.5,2.284379005432129,0.011361563578248024,0.012104631401598454,0.01183529756963253,0.016973352059721947,0.267136812210083,0.3405865430831909,0.2775464951992035,0.43656009435653687,0.07722268253564835,0.08178490400314331,0.07909759134054184,0.11248244345188141,,,,,,,,,,,,,,,
30,154,,,,,,,,,,,,,,,,,,,,,,0.9532421231269836,1.0,1.0,0.9433900117874146,0.9666666388511658,1.5234429836273193,1.0,0.9532421231269836,1.0,0.9733333587646484,1.0,1.0
30,154,3792.65625,3849.14990234375,3871.925048828125,3874.8125,0.0,1.9128824472427368,0.009106284007430077,0.009038661606609821,0.008832121267914772,0.012876495718955994,0.25468650460243225,0.24873614311218262,0.24637551605701447,0.3209823966026306,0.07682937383651733,0.0745355486869812,0.0749630555510521,0.09508921205997467,,,,,,,,,,,,,,,
31,159,,,,,,,,,,,,,,,,,,,,,,0.9161729216575623,1.0,1.0,0.9641364216804504,0.9733333587646484,1.8909434080123901,1.0,0.9161729216575623,1.0,0.95333331823349,1.0,1.0
31,159,3823.6875,3863.324951171875,3886.10009765625,3888.956298828125,0.0,2.025613307952881,0.010063265450298786,0.012882417067885399,0.009801500476896763,0.023245718330144882,0.24577347934246063,0.2631097435951233,0.24803288280963898,0.3280990719795227,0.07196246087551117,0.07579076290130615,0.07058157026767731,0.11198186874389648,,,,,,,,,,,,,,,
32,164,,,,,,,,,,,,,,,,,,,,,,0.9302817583084106,1.0,1.0,0.9452615976333618,0.9711111187934875,1.7172060012817383,1.0,0.9302817583084106,1.0,0.9577777981758118,1.0,1.0
32,164,3803.14990234375,3848.012451171875,3883.112548828125,3885.89990234375,0.0,2.0900986194610596,0.009899457916617393,0.009540779516100883,0.011333161033689976,0.019124411046504974,0.2663673758506775,0.2889016568660736,0.2800644040107727,0.3886801600456238,0.06283742189407349,0.0624714270234108,0.06814084202051163,0.11484833061695099,,,,,,,,,,,,,,,
